days,optimals,snp,dqnBiggerNet_percent,dqnBiggerNet_weight,dqnBiggerNet_stock,dqnFastBigNet_percent,dqnFastBigNet_weight,dqnFastBigNet_stock,dqnVeryLarge_percent,dqnVeryLarge_weight,dqnVeryLarge_stock
10/4/2010 0:00,0.058801485,0.058801485,0.00022448,5,TJX,-0.016949171,6,SWKS,0,9,MRNA
10/5/2010 0:00,0.09418287,0.09418287,0.03696524,10,AAPL,0.050458666,10,BLDR,0.013258935,10,AEE
10/6/2010 0:00,0.042792805,0.042792805,0,8,FOX,0,2,GEHC,0.00441893,2,HRL
10/7/2010 0:00,0.115040849,0.115040849,-0.009201073,5,TJX,0,5,PANW,0.025102179,9,VRTX
10/8/2010 0:00,0.157984661,0.157984661,0.021706585,10,DXCM,0.020916339,6,SWKS,0.022335697,9,CTRA
10/11/2010 0:00,0.084496542,0.084496542,0.029304072,10,DXCM,0.000487816,6,SWKS,-0.00684259,10,TYL
10/12/2010 0:00,0.067774053,0.067774053,0.025080006,9,CBRE,-0.014324069,7,AVGO,0.016863881,1,JPM
10/13/2010 0:00,0.09790927,0.09790927,0.0178862,1,AES,0.050458666,10,BLDR,0.010878291,9,NDSN
10/14/2010 0:00,0.04554829,0.04554829,0.005186722,10,ED,0.015517946,2,NTAP,0.001139411,1,JKHY
10/15/2010 0:00,0.222222281,0.222222281,0.00283113,4,CPT,0,5,PANW,0,3,ENPH
10/18/2010 0:00,0.074162669,0.074162669,0.019569188,10,PH,-0.002733171,2,PM,0,4,GEHC
10/19/2010 0:00,0.062884489,0.062884489,-0.022471889,1,AES,-0.016643491,6,SWKS,0.036730237,6,PH
10/20/2010 0:00,0.108547049,0.108547049,0.015769952,8,MGM,0.014018678,10,BLDR,0.029280715,10,PODD
10/21/2010 0:00,0.127587381,0.127587381,0.034015004,5,BAX,-0.037192057,6,SWKS,0.006979636,1,LDOS
10/22/2010 0:00,0.199595152,0.199595152,0.01787891,8,OKE,0.002277524,8,KO,-0.010374094,10,HD
10/25/2010 0:00,0.071230294,0.071230294,0.05370107,10,AMD,0,7,KVUE,0.009322005,7,NVDA
10/26/2010 0:00,0.144523408,0.144523408,-0.007281588,7,ORCL,0,7,KVUE,0.02446046,9,TSLA
10/27/2010 0:00,0.146674476,0.146674476,0.005661193,10,ED,0.054940007,6,SWKS,0.029262154,10,MSI
10/28/2010 0:00,0.086945922,0.086945922,-0.002264127,10,PPL,-0.004707262,8,UPS,0,6,VLTO
10/29/2010 0:00,0.104952556,0.104952556,-0.000784818,5,BAX,0,7,KVUE,-0.007023288,3,CMS
11/1/2010 0:00,0.062666655,0.062666655,0.002412019,10,AXP,0,10,ENPH,0,6,ENPH
11/2/2010 0:00,0.087179402,0.087179402,0,2,VLTO,0.087179402,10,BLDR,0.035943483,10,PHM
11/3/2010 0:00,0.10403595,0.10403595,0.013262587,10,AMD,0.001004039,3,CINF,0.024470155,9,TSLA
11/4/2010 0:00,0.143776042,0.143776042,0.143776042,9,TSLA,0.028037355,10,BLDR,0.143776042,10,TSLA
11/5/2010 0:00,0.06866667,0.06866667,0,4,ANET,0.006054464,8,UPS,0.005236881,6,FRT
11/8/2010 0:00,0.066886907,0.066886907,0.022094939,6,TSLA,0,7,KVUE,0.015775292,1,LVS
11/9/2010 0:00,0.082652119,0.082652119,0.082652119,10,DXCM,-0.01709043,3,LIN,0.007863796,9,NFLX
11/10/2010 0:00,0.192042032,0.192042032,0,1,TRGP,0,5,PANW,0,7,HWM
11/11/2010 0:00,0.043266918,0.043266918,0,2,VLTO,0,5,PANW,0,9,MRNA
11/12/2010 0:00,0.064194022,0.064194022,0,2,VLTO,0,7,KVUE,0.064194022,9,TSLA
11/15/2010 0:00,0.042944834,0.042944834,-0.009187582,10,WBA,0.034313693,10,BLDR,0.001428579,10,PXD
11/16/2010 0:00,0.017860887,0.017860887,0.000994268,9,WBD,-0.015306978,2,PM,-0.006132066,3,IDXX
11/17/2010 0:00,0.048715695,0.048715695,0.034517061,10,WBD,0.006732319,1,FRT,0.003367583,2,NEM
11/18/2010 0:00,0.078578659,0.078578659,0.040920723,10,FTNT,0.006804161,6,PSA,0.006842312,10,AEE
11/19/2010 0:00,0.181135091,0.181135091,0.011980749,7,HAL,0,5,PANW,0.00486476,7,SYK
11/22/2010 0:00,0.197000429,0.197000429,0.0883033,10,NFLX,-0.000770344,9,BIIB,0.077767156,9,TSLA
11/23/2010 0:00,0.040650383,0.040650383,0,2,VLTO,0.002451037,2,MO,0,2,FLT
11/24/2010 0:00,0.057657601,0.057657601,0.009896966,5,BAX,0.01770135,1,FRT,0.057657601,7,AAL
11/26/2010 0:00,0.042944818,0.042944818,0.013002323,9,VRTX,-0.007262292,2,PM,-0.003407152,9,AAL
11/29/2010 0:00,0.046742815,0.046742815,0.035831442,6,HAL,0.011287971,8,UPS,-0.011744026,9,WY
11/30/2010 0:00,0.063123824,0.063123824,0,9,MRNA,0,7,KVUE,0,3,PSX
12/1/2010 0:00,0.070577406,0.070577406,0.044085261,10,NVDA,0.023247748,5,REGN,0.016682141,10,LKQ
12/2/2010 0:00,0.071746065,0.071746065,0.001641063,10,ED,-0.013321543,9,AAL,0.027501883,9,PKG
12/3/2010 0:00,0.154506432,0.154506432,0.029982919,8,MTCH,-0.001192633,9,BIIB,0.001549153,10,PXD
12/6/2010 0:00,0.046090464,0.046090464,0.00789475,1,AES,-0.001303386,3,CINF,0.004922623,6,JKHY
12/7/2010 0:00,0.05610175,0.05610175,0.008465098,2,CHTR,0.034682047,10,BLDR,-0.002675289,4,GLW
12/8/2010 0:00,0.193154018,0.193154018,0.005833308,5,TTWO,0.002932548,6,SWKS,0,9,FANG
12/9/2010 0:00,0.141113115,0.141113115,0.00559159,5,TJX,0.011363626,10,BLDR,0.008211693,7,IPG
12/10/2010 0:00,0.080868399,0.080868399,0.080868399,8,LULU,0.028089928,10,BLDR,0.012492503,10,PXD
12/13/2010 0:00,0.066769507,0.066769507,0.003252063,10,EQT,0.001509469,3,SYK,0,9,ENPH
12/14/2010 0:00,0.073736567,0.073736567,0.073736567,10,DXCM,0,5,PANW,-0.06612134,9,TSLA
12/15/2010 0:00,0.048524376,0.048524376,0.004275886,10,ALGN,0.004090763,6,SWKS,0.037504234,9,TSLA
12/16/2010 0:00,0.07049916,0.07049916,0.024162153,10,DXCM,0.0274725,10,BLDR,0.025335332,10,PHM
12/17/2010 0:00,0.082914636,0.082914636,0.003176063,9,CBOE,0,5,PANW,0,3,ENPH
12/20/2010 0:00,0.054635749,0.054635749,0.031273899,10,DXCM,0.005847948,10,BLDR,-0.001579846,1,IRM
12/21/2010 0:00,0.107021484,0.107021484,0.000522478,7,CMS,0.003910438,6,SWKS,0.079398154,6,RCL
12/22/2010 0:00,0.071317837,0.071317837,0.004017796,3,CAG,0,7,KVUE,0.023758142,10,LEN
12/23/2010 0:00,0.059491044,0.059491044,0.000563112,2,DUK,0,7,KVUE,0.000716629,9,EXC
12/27/2010 0:00,0.092950471,0.092950471,0,2,VLTO,0,7,KVUE,0.000794972,3,NVR
12/28/2010 0:00,0.036299815,0.036299815,-0.039459032,1,LULU,0,7,KVUE,0,9,MRNA
12/29/2010 0:00,0.049981093,0.049981093,-0.00057785,3,WTW,0,10,ENPH,0.049981093,9,TSLA
